업체명,채널,지역,희망공급제품,예상월물량kg,담당자,직책,전화,이메일,웹사이트,상태,우선순위,최근접촉일,다음액션,메모
씨제이이엔엠 커머스부문(CJ온스타일),홈쇼핑·라이브커머스,서울 서초구,냉동필렛·가바야키,,,,,,https://partners.cjonstyle.com/,후보,중,,,"장어취급: '정호영셰프의 기운센 민물장어구이 150g×3팩' 등 민물장어 상품 판매 / 후보이유: 파트너시스템 통해 입점 제안→협력사 코드 발급→전자계약→교육 이수 후 상품 등록 절차가 명확, 모바일 라이브 채널 다수 / 비고: 장어 상품 공급사는 양산도에프엔비(벤더 경유 진입 병행 권장)"
현대홈쇼핑,홈쇼핑·라이브커머스,서울 강동구,냉동필렛·가바야키,,,,,,https://company.hmall.com/affiliate/affiliate_guide.html,후보,중,,,장어취급: 2026년 6월 27일 라이브 방송으로 '동경밥상 시그니처 민물장어구이'(고창산 자포니카) 첫 론칭 / 후보이유: 셰프 브랜드 장어 론칭 실적이 있어 장어 카테고리 수요 확인됨. 협력사 입점안내·전자계약·파트너시스템(partner.hmall.com) 체계 구비 / 비고: 입점교육 사이트(partneredu.hyundaihmall.com) 별도 운영
우리홈쇼핑(롯데홈쇼핑),홈쇼핑·라이브커머스,서울 영등포구,냉동필렛·가바야키,,,,,,https://www.lottehomeshopping.com/user/business/sGuide.lotte,후보,중,,,"장어취급: '정호영의 국내산 손질 민물장어 1kg(100g×10팩)+소스' 판매 / 후보이유: 파트너시스템(partners.lotteimall.com)에서 상품제안~정산까지 온라인 처리, 장어 상품 판매 실적 존재 / 비고: 일반과세자만 입점 가능(간이과세자 불가), 기본거래계약·보증보험 등 절차 필요"
지에스리테일 홈쇼핑사업부(GS샵),홈쇼핑·라이브커머스,서울 영등포구,냉동필렛·가바야키,,,,,,https://partners.gsshop.com/sug/suggest,후보,중,,,장어취급: GS샵 몰 내 민물장어·장어구이 상품 다수 판매 / 후보이유: 온라인 입점제안 포털(partners.gsshop.com)과 협력사 통합시스템 'GS샵 파트너스'(withgs.gsshop.com)로 제안~계약 절차 명확 / 비고: 입점제안서는 담당 MD·사업부 검토 후 단계별 메일 통보
공영홈쇼핑(공영쇼핑),홈쇼핑·라이브커머스,서울,냉동필렛·가바야키,,,,,,http://www.immall.co.kr/,후보,하,,,"장어취급: 수산 보양식(장어류) 편성 채널이나 국산 원료 중심 / 후보이유: 2026년 6월부터 입점 서류 20개→14개로 간소화 등 진입장벽 완화, 몰 하단 '입점안내'로 온라인 신청 / 비고: 중소기업·국산 농축수산물 중심 채널 특성상 중국산 원료 상품은 편성 제약 가능성 커 사전 확인 필요"
동경밥상,홈쇼핑·라이브커머스,부산(광안리 본점),냉동필렛·가바야키,,,,,,,후보,중,,,"장어취급: '동경밥상 시그니처 민물장어구이'를 현대홈쇼핑 라이브로 론칭(2026.6.27), 고창산 자포니카 원료 / 후보이유: 홈쇼핑·간편식 확장 중인 장어 브랜드로 물량 확대 시 원료(필렛) 공급 제안 대상 / 비고: 현재 100% 국산 고창산 원료 표방이라 수입 원료 전환 가능성은 낮음(보조 라인 제안용)"
주식회사 마이셰프,HMR·밀키트 제조사,서울 송파(문정 사무소) / 경기 성남·광주 공장,냉동필렛,,,,1688-3980,,https://www.mychef.kr,후보,상,,,"장어취급: '바로구운 양념장어덮밥' 장어덮밥 밀키트(2인, 340g) 제조·판매 중 — 장어 원료 수요 실재 / 후보이유: 장어덮밥 밀키트를 자체 제조·판매 중인 몇 안 되는 밀키트 제조사로 냉동 장어 필렛 원료의 직접 수요처 / 비고: 성남공장(경기 성남시 중원구 순환로214번길 15), B2B 납품도 병행"
순수본(주),HMR·밀키트 제조사,전북 익산시 왕궁면 국가식품로 11(국가식품클러스터),냉동필렛,,,,1588-6219,,https://babybonjuk.co.kr,후보,상,,,"장어취급: 2026년 여름 보양 HMR '본 양념장어'(민물장어 직화구이, 개별포장 4봉+소스) 출시 — 민물장어 사용 확인 / 후보이유: 민물장어 구이 HMR을 실제 생산 중이어서 로스트라타 필렛·향후 가바야키 공급 fit이 가장 직접적 / 비고: 본아이에프 자회사, 전자레인지 90초 조리 컨셉의 장어 HMR 운영"
주식회사 오뚜기,HMR·밀키트 제조사,서울 강남구(본사),냉동필렛,,,,,,https://www.ottogi.co.kr,후보,중,,,"장어취급: '저온 숙성 자연산 장어구이'(바다장어 냉동 HMR), 이마트 단독 '컵밥 나고야식 장어덮밥'(붕장어) 출시 — 장어 HMR 라인 보유(현재는 바다장어·붕장어 사용) / 후보이유: 장어 HMR 라인을 이미 운영하는 대기업으로, 가격 경쟁력 있는 민물장어(로스트라타) 필렛·가바야키로 라인 확장 제안 가능 / 비고: 대기업 구매는 협력사 등록 절차 필요, 현재 라인은 민물장어 미사용이라 전환 제안 필요"
(주)교동식품,HMR·밀키트 제조사,충북 옥천군 옥천읍 지용로 181,냉동필렛,,,,1577-5911,,https://www.gdfood.kr,후보,중,,,"장어취급: 장어 제품은 확인되지 않음(육개장·갈비탕·삼계탕 등 국탕류 전문) / 후보이유: 탕류 레토르트 OEM·PB 생산능력이 커서 장어탕 HMR 신제품·수탁생산 시 장어 원료 대량 수요 창출 가능 / 비고: 본사 대표전화 병기: 043-731-9302, 1992년 설립·18개국 수출"
(주)프레시지,HMR·밀키트 제조사,경기 용인(본사),냉동필렛,,,,,,https://www.fresheasy.co.kr,후보,중,,,장어취급: 장어 제품은 확인되지 않음 / 후보이유: 밀키트 최대 생산능력 보유사로 원료 공급사(벤더) 등록을 통한 장어 밀키트 신제품 원료 공급 창구 확보 가치 / 비고: 테이스티나인은 2023년 사업 종료 후 프레시지에 흡수 — 개별 접촉 불필요
농업회사법인(주)새롬한방제약,건강원·즙/진액 제조 OEM,전남 나주시 금천면 천석길 76,냉동필렛(규격외·소형어),,,,,,http://www.srhanbang.co.kr,후보,상,,,"장어취급: '경희 비타민 민물장어 진액' 등 민물장어 진액을 직접 제조·판매 — 장어 원물 수요 실재 / 후보이유: 민물장어 진액 제조 라인을 보유한 한방제약형 제조사로 규격외·소형어 필렛/원어 대량 납품 적합 / 비고: 사업자 409-81-88158(나이스비즈인포 확인), 연락처는 공식몰 통해 확인 필요"
농업법인(주)옻가네,건강원·즙/진액 제조 OEM,충북 제천시(바이오밸리로 143),냉동필렛(규격외·소형어),,,,1577-5733,,https://www.okannae.com,후보,상,,,"장어취급: 장어 제품 여부 미확인(진액·추출가공식품류 OEM 설비 보유) / 후보이유: 진액·액상차 스틱 OEM 원스톱 설비(MES 스마트공장)를 갖춘 수탁 전문사로 장어진액 OEM 브랜드들의 생산처 및 원료 구매처가 될 수 있음 / 비고: OEM 상담 창구: okannae.com/contact, 보조번호 043-644-5755"
우리사랑건강원,건강원·즙/진액 제조 OEM,,냉동필렛(규격외·소형어),,,,,,https://woorisarang.co.kr,후보,중,,,장어취급: 장어엑기스/장어즙 전용 카테고리 운영 — 장어 원물 상시 수요 / 후보이유: 장어 엑기스를 주력 품목으로 하는 제조·판매사로 원료(장어) 대량 매입 수요가 직접적 / 비고: OEM 수탁 규모·공장 소재지는 접촉 시 확인 필요(현재 국내산 원료 소구 중이라 원료 전환 제안 필요)
(주)신비바이오,건강원·즙/진액 제조 OEM,,냉동필렛(규격외·소형어),,,,,,https://sinbibio.co.kr,후보,중,,,장어취급: 장어 제품 미확인(장어즙 위탁생산 검색 문맥에서 노출되는 수탁 제조사) / 후보이유: 소량 다품종 수탁 구조라 장어진액 신규 브랜드 론칭 수요를 흡수하는 생산처 — 원료 공급 제휴 시 다수 브랜드 물량 집약 가능 / 비고: 소재지·연락처는 공식 사이트에서 확인 필요
(주)천호엔케어,건강원·즙/진액 제조 OEM,부산(본사),냉동필렛(규격외·소형어),,,,,,https://www.chunhomall.com,후보,중,,,장어취급: 이커머스 장어즙 검색에 브랜드 노출 확인(개별 제품 상세는 미확인) / 후보이유: 진액·즙 카테고리 대형 제조사로 장어 보양 진액 라인 운영·확장 시 원물 대량 구매력이 큼 / 비고: OEM/B2B 창구 보유 여부는 접촉 시 확인 필요
우일음료,건강원·즙/진액 제조 OEM,경북 예천군(예천 제1농공단지),냉동필렛(규격외·소형어),,,,,,http://wooil.org,후보,하,,,장어취급: 장어 제품 미확인(액상 파우치·음료 수탁 생산) / 후보이유: 액상 파우치 대량 수탁 설비를 갖춰 장어진액 스틱/파우치 OEM 물량의 잠재 생산처 / 비고: 보양 진액류 수탁 이력 여부는 확인 필요
주식회사 참앤들황토농원,건강원·즙/진액 제조 OEM,부산 강서구,냉동필렛(규격외·소형어),,,,,,https://htfarm.co.kr,후보,하,,,장어취급: 장어 제품 미확인(흑염소진액 등 보양 진액류 주력) / 후보이유: 흑염소진액 등 보양 진액 카테고리를 대량 생산하는 중견 제조사로 장어진액 라인 신설 시 원료 소진 채널 가능 / 비고: OEM 수탁 여부 미확인 — 접촉 시 확인 필요
